,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
196,6011,"Colusa, CA",Colusa,CA,2001,535366.0
197,6013,"Contra Costa, CA",Contra Costa,CA,2001,40551114.0
198,6015,"Del Norte, CA",Del Norte,CA,2001,269297.0
199,6017,"El Dorado, CA",El Dorado,CA,2001,3469899.0
200,6019,"Fresno, CA",Fresno,CA,2001,17161405.0
201,6021,"Glenn, CA",Glenn,CA,2001,478963.0
202,6023,"Humboldt, CA",Humboldt,CA,2001,2553584.0
203,6025,"Imperial, CA",Imperial,CA,2001,2684888.0
204,6027,"Inyo, CA",Inyo,CA,2001,526331.0
205,6029,"Kern, CA",Kern,CA,2001,15479591.0
206,6031,"Kings, CA",Kings,CA,2001,1941879.0
207,6033,"Lake, CA",Lake,CA,2001,850058.0
208,6035,"Lassen, CA",Lassen,CA,2001,314408.0
209,6037,"Los Angeles, CA",Los Angeles,CA,2001,345953661.0
210,6039,"Madera, CA",Madera,CA,2001,1913606.0
211,6041,"Marin, CA",Marin,CA,2001,12258442.0
212,6043,"Mariposa, CA",Mariposa,CA,2001,267106.0
213,6045,"Mendocino, CA",Mendocino,CA,2001,1854885.0
214,6047,"Merced, CA",Merced,CA,2001,3504895.0
215,6049,"Modoc, CA",Modoc,CA,2001,114807.0
216,6051,"Mono, CA",Mono,CA,2001,421594.0
217,6053,"Monterey, CA",Monterey,CA,2001,13123077.0
218,6055,"Napa, CA",Napa,CA,2001,4909934.0
219,6057,"Nevada, CA",Nevada,CA,2001,2211787.0
220,6059,"Orange, CA",Orange,CA,2001,119326336.0
221,6061,"Placer, CA",Placer,CA,2001,9231830.0
222,6063,"Plumas, CA",Plumas,CA,2001,494707.0
223,6065,"Riverside, CA",Riverside,CA,2001,30543439.0
224,6067,"Sacramento, CA",Sacramento,CA,2001,34906466.0
225,6069,"San Benito, CA",San Benito,CA,2001,1003200.0
226,6071,"San Bernardino, CA",San Bernardino,CA,2001,33842841.0
227,6073,"San Diego, CA",San Diego,CA,2001,91419479.0
228,6075,"San Francisco, CA",San Francisco,CA,2001,62030786.0
229,6077,"San Joaquin, CA",San Joaquin,CA,2001,13406623.0
230,6079,"San Luis Obispo, CA",San Luis Obispo,CA,2001,7019314.0
231,6081,"San Mateo, CA",San Mateo,CA,2001,42921746.0
232,6083,"Santa Barbara, CA",Santa Barbara,CA,2001,11721721.0
233,6085,"Santa Clara, CA",Santa Clara,CA,2001,113207894.0
234,6087,"Santa Cruz, CA",Santa Cruz,CA,2001,7567619.0
