,state_code,county_code,county_sub_code,cntyname,town_name,hud_areaname,fips,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,pop2023,state_alpha,year,population,cbsasub21,county,cousub,pop2017,hu2017,cbsasub20,cbsasub19,pop2010,hu2010,cbsasub18,areaname18,cbsasub,pop,fmr_area,msa,stco,fmrtype,statename,fmrarea,id_agis2,pop2020,areaname22,cbsasub22
86181,36,,,Clinton County,,,,411.0,461.0,598.0,747.0,837.0,,,NY,2004,,,19.0,,,,,,,,,,,79894.0,,10000.0,,40.0,New York,,,,,
86182,36,,,Columbia County,,,,503.0,528.0,678.0,887.0,949.0,,,NY,2004,,,21.0,,,,,,,,,,,63094.0,,10000.0,,40.0,New York,,,,,
86183,36,,,Cortland County,,,,392.0,468.0,586.0,732.0,867.0,,,NY,2004,,,23.0,,,,,,,,,,,48599.0,,10000.0,,40.0,New York,,,,,
86184,36,,,Delaware County,,,,399.0,447.0,539.0,696.0,856.0,,,NY,2004,,,25.0,,,,,,,,,,,48055.0,,10000.0,,40.0,New York,,,,,
86185,36,,,Essex County,,,,392.0,447.0,561.0,702.0,784.0,,,NY,2004,,,31.0,,,,,,,,,,,38851.0,,10000.0,,40.0,New York,,,,,
86186,36,,,Franklin County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,33.0,,,,,,,,,,,51134.0,,10000.0,,40.0,New York,,,,,
86187,36,,,Fulton County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,35.0,,,,,,,,,,,55073.0,,10000.0,,40.0,New York,,,,,
86188,36,,,Greene County,,,,394.0,511.0,613.0,791.0,965.0,,,NY,2004,,,39.0,,,,,,,,,,,48195.0,,10000.0,,40.0,New York,,,,,
86189,36,,,Hamilton County,,,,395.0,475.0,547.0,690.0,789.0,,,NY,2004,,,41.0,,,,,,,,,,,5379.0,,10000.0,,40.0,New York,,,,,
86190,36,,,Jefferson County,,,,434.0,511.0,601.0,752.0,844.0,,,NY,2004,,,45.0,,,,,,,,,,,111738.0,,10000.0,,40.0,New York,,,,,
86191,36,,,Lewis County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,49.0,,,,,,,,,,,26944.0,,10000.0,,40.0,New York,,,,,
86192,36,,,Otsego County,,,,397.0,470.0,541.0,698.0,887.0,,,NY,2004,,,77.0,,,,,,,,,,,61676.0,,10000.0,,40.0,New York,,,,,
86193,36,,,St. Lawrence County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,89.0,,,,,,,,,,,111931.0,,10000.0,,40.0,New York,,,,,
86194,36,,,Schuyler County,,,,430.0,459.0,545.0,758.0,894.0,,,NY,2004,,,97.0,,,,,,,,,,,19224.0,,10000.0,,40.0,New York,,,,,
86195,36,,,Seneca County,,,,419.0,451.0,544.0,703.0,783.0,,,NY,2004,,,99.0,,,,,,,,,,,33342.0,,10000.0,,40.0,New York,,,,,
86196,36,,,Steuben County,,,,413.0,470.0,539.0,704.0,796.0,,,NY,2004,,,101.0,,,,,,,,,,,98726.0,,10000.0,,40.0,New York,,,,,
86197,36,,,Sullivan County,,,,530.0,594.0,724.0,1000.0,1014.0,,,NY,2004,,,105.0,,,,,,,,,,,73966.0,,10000.0,,40.0,New York,,,,,
86198,36,,,Tompkins County,,,,526.0,566.0,727.0,1015.0,1196.0,,,NY,2004,,,109.0,,,,,,,,,,,96501.0,,10000.0,,40.0,New York,,,,,
86199,36,,,Ulster County,,,,490.0,683.0,821.0,1069.0,1345.0,,,NY,2004,,,111.0,,,,,,,,,,,177749.0,,10000.0,,40.0,New York,,,,,
86200,36,,,Wyoming County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,121.0,,,,,,,,,,,43424.0,,10000.0,,40.0,New York,,,,,
86201,36,,,Yates County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,123.0,,,,,,,,,,,24621.0,,10000.0,,40.0,New York,,,,,
89403,36,,,Albany,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,1.0,,,,,,,,,,,292594.0,,160.0,,40.0,NEW YORK,160.0,,,,
89404,36,,,Montgomery,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,57.0,,,,,,,,,,,51981.0,,160.0,,40.0,NEW YORK,160.0,,,,
89405,36,,,Rensselaer,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,83.0,,,,,,,,,,,154429.0,,160.0,,40.0,NEW YORK,160.0,,,,
89406,36,,,Saratoga,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,91.0,,,,,,,,,,,181276.0,,160.0,,40.0,NEW YORK,160.0,,,,
89407,36,,,Schenectady,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,93.0,,,,,,,,,,,149285.0,,160.0,,40.0,NEW YORK,160.0,,,,
89408,36,,,Schoharie,,"Albany-Schenectady-Troy, NY",,444.0,547.0,672.0,844.0,943.0,,,NY,2003,,,95.0,,,,,,,,,,,31859.0,,160.0,,40.0,NEW YORK,160.0,,,,
89409,36,,,Broome,,"Binghamton, NY",,398.0,446.0,557.0,707.0,793.0,,,NY,2003,,,7.0,,,,,,,,,,,212160.0,,960.0,,40.0,NEW YORK,960.0,,,,
